Gene.name	Chromosome	Start	end
ATP13A2	1	16985958	17011928
SDHB	1	17018722	17054170
AC004824.2	1	17329012	17331796
RCC2	1	17406760	17439724
IFFO2	1	18904281	18956686
UBR4	1	19074506	19210276
EMC1	1	19215664	19251552
MRTO4	1	19251539	19260128
AKR7A2	1	19303965	19312146
PQLC2	1	19312326	19329300
CAPZB	1	19338776	19485539
DDOST	1	20651767	20661544
HP1BP3	1	20742661	20787323
EIF4G3	1	20806292	21176888
ECE1	1	21217247	21345504
USP48	1	21678298	21783606
CDC42	1	22052627	22092946
ZBTB40	1	22451851	22531157
C1QA	1	22636506	22639608
C1QC	1	22643630	22648110
RPL11	1	23691779	23696425
TCEB3	1	23743155	23762059
TCEB3-AS1	1	23760382	23778287
PITHD1	1	23778405	23788232
LYPLA2	1	23790970	23795539
GALE	1	23795599	23800804
HMGCL	1	23801885	23838620
FUCA1	1	23845077	23868294
PNRC2	1	23959109	23963462
SRSF10	1	23964804	23980927
NIPAL3	1	24415794	24472976
RCAN3	1	24502351	24541040
SRSF4	1	29147743	29181987
MECR	1	29192873	29230942
MATN1-AS1	1	30718504	30726827
LAPTM5	1	30732469	30757820
PUM1	1	30931506	31065991
SNRNP40	1	31259568	31296782
ZCCHC17	1	31296982	31364953
SERINC2	1	31409565	31434680
PEF1	1	31629862	31644896
PTP4A2	1	31906421	31944856
TMEM234	1	32214472	32222359
EIF3I	1	32221928	32231604
FAM167B	1	32247233	32248856
UTP11L	1	38009258	38024824
RRAGC	1	38838198	38859823
MYCBP	1	38862964	38874105
RHBDL2	1	38885807	38941799
NDUFS5	1	39026318	39034636
MYSM1	1	58654739	58700092
JUN	1	58780788	58784327
RP4-794H19.1	1	58882868	58903747
LINC01358	1	58933643	59240555
HOOK1	1	59814786	59876378
NFIA	1	60865259	61462793
TM2D1	1	61681046	61725423
INADL	1	61742477	62178675
USP1	1	62436297	62451804
DOCK7	1	62454726	62688368
ATG4C	1	62784135	62865513
ALG6	1	63367590	63438562
ITGB3BP	1	63440770	63593721
EFCAB7	1	63523372	63572693
PGM1	1	63593276	63660245
JAK1	1	64833229	64966504
DNAJC6	1	65248219	65415869
LEPROT	1	65420587	65436007
LEPR	1	65420652	65641559
PDE4B	1	65792514	66374579
MIER1	1	66924895	66988619
SLC35D1	1	66999332	67054099
SERBP1	1	67407810	67430415
GADD45A	1	67685061	67688338
SRSF11	1	70205682	70253052
ANKRD13C	1	70260588	70354734
HHLA3	1	70354805	70385339
ZRANB2	1	71063291	71081297
LRRIQ3	1	74026015	74198187
FPGT	1	74198212	74234086
TYW3	1	74733152	74766678
ACADM	1	75724347	75787575
RABGGTB	1	75786197	75795079
PIGK	1	77088990	77219430
USP33	1	77695987	77759852
FAM73A	1	77779624	77879539
FUBP1	1	77944055	77979110
RP11-386I14.4	1	78004346	78004554
RP5-887A10.1	1	80535755	80646788
TTLL7	1	83865028	83999150
PRKACB	1	84078062	84238498
RPF1	1	84479259	84497790
GNG5	1	84498325	84506565
CTBS	1	84549606	84574480
SSX2IP	1	84643707	84690803
C1orf52	1	85249953	85259672
BCL10	1	85266248	85277090
CYR61	1	85580761	85583962
ODF2L	1	86346824	86396342
SH3GLB1	1	86704570	86748184
HS2ST1	1	86914648	87109998
LMO4	1	87328468	87348923
PKN2	1	88684222	88836255
GTF2B	1	88852932	88891944
CCBL2	1	88935773	88992953
RBMXL1	1	88979456	88992960
GBP1	1	89052319	89065360
GBP2	1	89106132	89150456
GBP4	1	89181148	89198932
GBP5	1	89258950	89272804
LRRC8B	1	89524836	89597864
LRRC8C	1	89633072	89769903
LRRC8D	1	89821014	89936611
ZNF326	1	89995112	90035531
ZNF644	1	90915298	91022272
GLMN	1	92246402	92298987
RPAP2	1	92298965	92402056
GFI1	1	92474762	92486876
EVI5	1	92508696	92792404
RPL5	1	92832025	92841924
FAM69A	1	92832737	92961522
MTF2	1	93079235	93139081
TMED5	1	93149742	93180728
CCDC18	1	93179919	93278730
DR1	1	93345888	93369498
BCAR3	1	93561786	93847150
DNTTIP2	1	93866283	93879918
GCLM	1	93885205	93909456
ABCD3	1	94418455	94518666
ALG14	1	94974407	95072945
RWDD3	1	95234155	95247225
PTBP2	1	96721665	96823738
DPYD	1	97077743	97921049
AGL	1	99850084	99924023
SLC35A3	1	99969789	100026979
MFSD14A	1	100038097	100083377
SASS6	1	100083563	100132955
RTCA	1	100266207	100292769
CDC14A	1	100345025	100520277
EXTL2	1	100872372	100895998
SLC30A7	1	100896076	100981753
DPH5	1	100989623	101026088
RP11-421L21.3	1	101025878	101087268
RP4-575N6.4	1	101235683	101236528
S1PR1	1	101236888	101241518
RNPC3	1	103525691	103555239
PRMT6	1	107056679	107059294
SLC25A24	1	108134036	108200849
RP11-483I13.5	1	108199926	108201491
PRPF38B	1	108692323	108701803
STXBP3	1	108746674	108809526
GPSM2	1	108875350	108934545
CLCC1	1	108929508	108963457
WDR47	1	108970214	109042113
TAF13	1	109062486	109076002
RP5-1065J22.8	1	109087971	109090858
TMEM167B	1	109089803	109096934
SARS	1	109213918	109238169
PSMA5	1	109399031	109426427
ATXN7L2	1	109483479	109492804
GNAI3	1	109548611	109618321
AMPD2	1	109616104	109632051
GSTM4	1	109656081	109674836
GSTM2	1	109668022	109709551
GSTM1	1	109687814	109709039
AHCYL1	1	109984686	110023741
STRIP1	1	110031577	110074641
RBM15	1	110338506	110346681
SLC16A4	1	110362848	110391082
LAMTOR5	1	110401249	110407942
KCNA2	1	110593580	110631474
RP11-284N8.3	1	110653560	110657040
KCNA3	1	110672465	110675033
CD53	1	110873154	110899928
DRAM2	1	111117333	111140216
CEPT1	1	111139627	111185102
CHI3L2	1	111200771	111243440
WDR77	1	111439890	111449376
ATP5F1	1	111448864	111462773
RAP1A	1	111542218	111716691
FAM212B	1	111680630	111755824
ST7L	1	112523518	112620825
CAPZA1	1	112619173	112671619
MOV10	1	112673141	112700746
RHOC	1	112701106	112707434
SLC16A1	1	112911847	112957013
SLC16A1-AS1	1	112956415	113047055
PHTF1	1	113696831	113759489
RSBN1	1	113761832	113812476
DCLRE1B	1	113905141	113914086
HIPK1-AS1	1	113924000	113929492
HIPK1	1	113929192	113977869
TRIM33	1	114392777	114511160
BCAS2	1	114567557	114581639
DENND2C	1	114582848	114670422
NRAS	1	114704469	114716894
CSDE1	1	114716913	114758676
SIKE1	1	114769479	114780685
TSPAN2	1	115048011	115089500
VANGL1	1	115641953	115698224
ATP1A1	1	116372668	116410261
CD58	1	116514535	116571039
RP11-27K13.3	1	117025482	117059490
SRGAP2B	1	144887265	145095528
CH17-373J23.1	1	145281116	145281462
GPR89A	1	145607990	145670648
CD160	1	145719471	145739288
RNF115	1	145738868	145824077
POLR3C	1	145824088	145842505
PIAS3	1	145848522	145859836
ITGA10	1	145891208	145910189
PEX11B	1	145911350	145918837
RBM8A	1	145917714	145927678
LIX1L	1	145933423	145958001
POLR3GL	1	145964702	145978848
TXNIP	1	145992435	145996600
NOTCH2NL	1	146146203	146229026
NBPF12	1	146938744	146996202
PRKAB2	1	147155106	147172550
CHD1L	1	147242641	147295766
BCL9	1	147541412	147626216
ACP6	1	147629652	147670496
GPR89B	1	147928393	147993521
NBPF14	1	148531385	148679751
PDE4DIP	1	148808181	149048286
CH17-189H20.1	1	149176022	149251013
LINC00869	1	149606334	149679523
FAM231D	1	149702328	149705721
HIST2H2BE	1	149842204	149886652
HIST2H2AA4	1	149851061	149851624
HIST2H2AC	1	149886975	149887364
BOLA1	1	149887890	149900798
SF3B4	1	149923317	149928344
MTMR11	1	149928651	149936898
VPS45	1	150067293	150145327
PLEKHO1	1	150149183	150164720
ANP32E	1	150218417	150236156
APH1A	1	150265399	150269580
CIART	1	150282543	150287093
MRPS21	1	150293720	150308979
PRPF3	1	150321476	150353195
RPRD2	1	150363091	150476566
TARS2	1	150487364	150507609
MCL1	1	150574551	150579738
ENSA	1	150600851	150629612
GOLPH3L	1	150646225	150697144
CTSS	1	150730196	150765957
ARNT	1	150809705	150876768
CERS2	1	150960583	150975004
FAM63A	1	150996086	151008375
PRUNE	1	151008420	151035713
C1orf56	1	151047740	151051986
CDC42SE1	1	151050971	151070325
GABPB2	1	151070578	151125542
SCNM1	1	151156664	151170297
VPS72	1	151169987	151195321
PIP5K1A	1	151197949	151249536
PSMD4	1	151254703	151267479
RP11-126K1.2	1	151280024	151281929
PI4KB	1	151291797	151327715
RFX5	1	151340640	151347357
PSMB4	1	151399534	151401944
POGZ	1	151402724	151459465
CGN	1	151510510	151538692
TUFT1	1	151540305	151583583
SNX27	1	151612065	151699091
MRPL9	1	151759643	151763564
RP11-98D18.3	1	151763384	151769501
TDRKH	1	151770107	151791416
RP11-98D18.9	1	151790804	151794402
THEM4	1	151873584	151909808
S100A10	1	151982915	151994390
S100A11	1	152032506	152047907
S100A9	1	153357854	153361027
S100A8	1	153390032	153391188
S100A6	1	153534599	153536244
S100A4	1	153543613	153550136
S100A13	1	153618787	153631360
CHTOP	1	153633982	153646306
SNAPIN	1	153658654	153661830
ILF2	1	153661788	153671048
GATAD2B	1	153804725	153922975
DENND4B	1	153929501	153946696
CRTC2	1	153947669	153958625
SLC39A1	1	153959099	153968184
RP11-422P24.12	1	153964361	153965070
CREB3L4	1	153967534	153974363
JTB	1	153974269	153977688
RAB13	1	153981617	153986358
RPS27	1	153990759	153992150
TPM3	1	154155304	154194648
C1orf43	1	154206706	154220628
UBAP2L	1	154220179	154271510
HAX1	1	154272511	154275875
ATP8B2	1	154325553	154351307
IL6R	1	154405193	154469450
UBE2Q1	1	154548577	154559028
ADAR	1	154582062	154627999
KCNN3	1	154697455	154870280
PMVK	1	154924734	154936991
PBXIP1	1	154944076	154956123
PYGO2	1	154957026	154963853
RP11-307C12.12	1	154961825	154962623
SHC1	1	154962298	154974395
CKS1B	1	154974653	154979249
FLAD1	1	154983338	154993111
ZBTB7B	1	155002630	155018522
RP11-307C12.11	1	155045191	155046118
ADAM15	1	155050566	155062775
EFNA4	1	155063731	155069553
SLC50A1	1	155135344	155138857
DPM3	1	155139891	155140595
KRTCAP2	1	155169408	155173475
THBS3	1	155195588	155209051
MTX1	1	155208699	155213824
GBA	1	155234452	155244699
FAM189B	1	155247205	155255483
SCAMP3	1	155255979	155262430
CLK2	1	155262868	155278491
FDPS	1	155308748	155320666
RUSC1	1	155320896	155331114
ASH1L	1	155335268	155562807
ASH1L-AS1	1	155562042	155563944
MSTO1	1	155610205	155614967
YY1AP1	1	155659443	155689000
DAP3	1	155687960	155739010
RIT1	1	155897808	155911404
KIAA0907	1	155913043	155934400
ARHGEF2	1	155946851	156007070
SSR2	1	156009048	156020959
UBQLN4	1	156035301	156053794
LAMTOR2	1	156054752	156058510
LMNA	1	156082573	156140089
SEMA4A	1	156147366	156177752
SLC25A44	1	156193932	156212796
PMF1-BGLAP	1	156212982	156243332
PMF1	1	156212993	156240042
GLMP	1	156290089	156295689
CCT3	1	156308968	156367873
C1orf61	1	156404250	156430701
MEF2D	1	156463727	156500828
APOA1BP	1	156591762	156594299
GPATCH4	1	156594487	156601496
ISG20L2	1	156721891	156728799
RRNAD1	1	156728442	156736960
MRPL24	1	156737303	156741590
HDGF	1	156742107	156766925
PRCC	1	156750610	156800817
SH2D2A	1	156806243	156816862
ETV3	1	157121191	157138474
FCRL5	1	157513377	157552520
FCRL2	1	157745733	157777132
CD1D	1	158179947	158184896
PYHIN1	1	158930796	158977054
IFI16	1	158999968	159055155
AIM2	1	159062484	159147096
DUSP23	1	159780932	159782543
TAGLN2	1	159918107	159925732
LINC01133	1	159961218	159984750
PIGM	1	160027673	160031991
IGSF8	1	160091340	160098943
PEA15	1	160205337	160215376
DCAF8	1	160215715	160262531
PEX19	1	160276812	160286348
COPA	1	160289273	160343400
NCSTN	1	160343272	160358952
SLAMF6	1	160485030	160523262
CD84	1	160541095	160579516
SLAMF1	1	160608100	160647295
CD48	1	160678746	160711851
SLAMF7	1	160739057	160754821
LY9	1	160796074	160828261
F11R	1	160995211	161021348
TSTD1	1	161037631	161038990
ARHGAP30	1	161046946	161069970
PFDN2	1	161100556	161118111
NIT1	1	161118086	161125445
DEDD	1	161120974	161132688
UFC1	1	161152776	161158856
RP11-297K8.2	1	161153760	161159349
PPOX	1	161166410	161178013
B4GALT3	1	161171310	161177968
NDUFS2	1	161197104	161214395
FCER1G	1	161215234	161220699
SDHC	1	161314257	161375340
FCGR2B	1	161663147	161678654
FCRLA	1	161706972	161714352
DUSP12	1	161749758	161757238
RP11-474I16.8	1	161765325	161766227
ATF6	1	161766294	161964070
UHMK1	1	162497251	162529629
UAP1	1	162561506	162599842
HSD17B7	1	162790702	162812817
MGST3	1	165630861	165661796
ALDH9A1	1	165662216	165698863
TMCO1	1	165724293	165827755
UCK2	1	165827531	165911618
POGK	1	166839447	166856344
POU2F1	1	167220829	167427345
CD247	1	167430640	167518610
CREG1	1	167529677	167553767
RCSD1	1	167630093	167706249
MPZL1	1	167721192	167791919
MPC2	1	167916729	167937040
DCAF6	1	167935783	168075843
TIPRL	1	168178933	168202114
SFT2D2	1	168225938	168253025
ATP1B1	1	169105697	169132722
NME7	1	169132531	169367967
C1orf112	1	169662007	169854080
SELL	1	169690667	169711698
METTL18	1	169792529	169794966
SCYL3	1	169849631	169894267
KIFAP3	1	169921326	170085208
